-->[1]  [OSMlabel=(tourism) (hotel) Victoria, lat=51.49210885, lgt=-0.1413893, score=0.07786108435768954]
-->[2]  [OSMlabel=(tourism) (hotel) The Rose Court Hotel, lat=51.5153483, lgt=-0.1601533, score=0.07786108435768954]
-->[3]  [OSMlabel=(tourism) (hotel) Park Plaza Sherlock Holmes, lat=51.5208685, lgt=-0.1566649, score=0.07786108435768954]
-->[4]  [OSMlabel=(tourism) (hotel) The Blakemore, lat=51.5128459, lgt=-0.18378339999999999, score=0.07786108435768954]
-->[5]  [OSMlabel=(tourism) (hotel) The Henry VIII Hotel, lat=51.51238535, lgt=-0.18363785, score=0.07786108435768954]
-->[6]  [OSMlabel=(tourism) (hotel) Marriott, lat=51.51311305, lgt=-0.15776235, score=0.07786108435768954]
-->[7]  [OSMlabel=(tourism) (hotel) mk london, lat=51.4643533, lgt=-0.2136615, score=0.07786108435768954]
-->[8]  [OSMlabel=(tourism) (hotel) St James's Hotel, lat=51.493543, lgt=-0.215281, score=0.07786108435768954]
-->[9]  [OSMlabel=(tourism) (hotel) New Linden Hotel, lat=51.5135487, lgt=-0.1933951, score=0.07786108435768954]
-->[10]  [OSMlabel=(tourism) (hotel) Marylebone Hotel, lat=51.518195, lgt=-0.149711, score=0.07786108435768954]
-->[11]  [OSMlabel=(tourism) (hotel) Citadines, lat=51.5178529, lgt=-0.1185245, score=0.07786108435768954]
-->[12]  [OSMlabel=(tourism) (hotel) Radisson Blu Edwardian Vanderbilt Hotel, lat=51.4952842, lgt=-0.1816667, score=0.07786108435768954]
-->[13]  [OSMlabel=(tourism) (hotel) united lodge hotel, lat=51.5743015, lgt=-0.0977912, score=0.07786108435768954]
-->[14]  [OSMlabel=(tourism) (hotel) Ibis Budget, lat=51.5177029, lgt=-0.0649313, score=0.07786108435768954]
-->[15]  [OSMlabel=(tourism) (hotel) Berjaya eden Park Hotel, lat=51.5120259, lgt=-0.1866141, score=0.07786108435768954]
-->[16]  [OSMlabel=(tourism) (hotel) Premier Inn London Greenwich, lat=51.4757123, lgt=-0.0195764, score=0.07786108435768954]
-->[17]  [OSMlabel=(tourism) (hotel) Keystone Hostel, lat=51.5309713, lgt=-0.1208364, score=0.07786108435768954]
-->[18]  [OSMlabel=(tourism) (hotel) The Melville Hotel, lat=51.5288076, lgt=-0.1227249, score=0.07786108435768954]
-->[19]  [OSMlabel=(tourism) (hotel) The Blair Victoria & Tudor Inn Hotel, lat=51.4914874, lgt=-0.1420448, score=0.07786108435768954]
-->[20]  [OSMlabel=(tourism) (hotel) Sheriff Hotel, lat=51.4908631, lgt=-0.1447903, score=0.07786108435768954]
